year,modularity,n_communities,largest_comm_size,avg_community_size
1992,0.9901232803228747,402,29,3.609452736318408
1993,0.9863834896049972,535,31,3.633644859813084
1994,0.9830147643193835,651,48,3.61136712749616
1995,0.9805648224789885,633,87,3.8183254344391786
1996,0.973791686827596,709,99,4.277856135401975
1997,0.9860271020926112,628,79,4.351910828025478
1998,0.9858194588969725,691,103,4.384949348769899
1999,0.9854577230063819,660,64,4.693939393939394
2000,0.985202802739043,734,137,4.5967302452316074
2001,0.98890481458189,810,78,4.432098765432099
2002,0.9743767461833094,785,115,4.94140127388535
2003,0.9883358577806168,470,32,3.3957446808510636
